epoch,train_loss,val_loss,val_auc,lr,elapsed_s
1,0.27043966771591277,0.7008242658206395,0.8571521219827276,0.0009972609476841367,237.9120557308197
2,0.2095591569176087,0.6933130468641009,0.8638354906628377,0.0009890738003669028,235.78556108474731
3,0.1991388486909779,0.6492719514029367,0.8631628793481626,0.0009755282581475768,209.98004722595215
4,0.1914838840127428,0.6525768944195338,0.873244035538618,0.0009567727288213003,194.16980934143066
5,0.17689375718543818,0.6128602930477687,0.8905429296165536,0.0009330127018922195,198.73102974891663
6,0.17080985790207273,0.6099253790719169,0.8977441420395742,0.0009045084971874739,193.05715918540955
7,0.16293583591997404,0.6628767626626151,0.8871808122975575,0.0008715724127386972,194.53239965438843
8,0.15809058651819333,0.5914441815444401,0.9028050080438318,0.0008345653031794292,195.72259330749512
9,0.15653461531732546,0.6171742303030832,0.9014313790327776,0.0007938926261462366,198.642240524292
10,0.15075971620095954,0.576626113482884,0.899380254099461,0.00075,198.91565227508545
11,0.14853513919008085,0.5947779272283826,0.9107168350446854,0.0007033683215379003,199.8113353252411
12,0.14516042923425143,0.5839530536106654,0.9047323923642384,0.0006545084971874739,206.46021103858948
13,0.14142871495240775,0.5981057294777461,0.9044282429754942,0.0006039558454088797,210.5724413394928
14,0.13914150832009403,0.5680336943694524,0.9077607577825689,0.0005522642316338269,213.8095669746399
15,0.13645442976401403,0.5607168640409197,0.9095257331065705,0.0005000000000000002,206.64091300964355
16,0.13502100110054016,0.5500941114766257,0.9085981771560568,0.0004477357683661734,204.96440863609314
17,0.1296588751067827,0.5608908729893821,0.9101712956726615,0.00039604415459112036,206.4192717075348
